file,Best_Baseline_Algo,Best_Baseline_Score,Best_TSPulse_Algo,Best_TSPulse_Score,TSPulse_ZS_ensemble,TSPulse2,Diff_TSPulse2_vs_Baseline,Diff_ZS_vs_Baseline,Diff_TSPulse2_vs_Best_TSPulse,Diff_TSPulse2_vs_Ensemble
344_UCR_id_42_Sensor_tr_2851_1st_5365,Sub-LOF,0.0567317603068241,TSPulse_ZS_time,0.964044,0.158092,0.097835,0.041103239693175905,0.9073122396931759,-0.866209,-0.060257000000000005
274_IOPS_id_15_WebService_tr_4591_1st_4691,MOMENT (FT),0.6734703496932296,TSPulse_ZS_time,0.579709,0.433949,0.709714,0.03624365030677035,-0.09376134969322958,0.13000499999999993,0.275765
255_SVDB_id_19_Medical_tr_50000_1st_54982,Sub-KNN,0.3987400474649905,TSPulse_ZS_fft,0.411721,0.042622,0.428616,0.02987595253500952,0.012980952535009527,0.016894999999999993,0.385994
179_SMD_id_2_Facility_tr_5925_1st_17580,MOMENT (FT),0.9723870246151388,TSPulse_ZS_fft,0.440601,0.379232,0.989422,0.017034975384861206,-0.5317860246151388,0.548821,0.61019
043_WSD_id_15_WebService_tr_4521_1st_6828,AutoEncoder,0.6080966796089448,TSPulse_ZS_future,0.507904,0.198085,0.622762,0.014665320391055281,-0.10019267960894473,0.11485800000000002,0.424677
534_SMAP_id_4_Sensor_tr_1968_1st_4370,KShapeAD,0.9884783245918805,TSPulse_ZS_future,0.849626,0.459341,0.983668,-0.004810324591880466,-0.13885232459188046,0.134042,0.524327
222_LTDB_id_7_Medical_tr_3618_1st_3718,AutoEncoder,0.993472420323474,TSPulse_ZS_fft,0.896222,0.643012,0.987262,-0.006210420323474075,-0.09725042032347408,0.09104000000000001,0.34424999999999994
842_OPPORTUNITY_id_1_HumanActivity_tr_7295_1st_27516,Sub-PCA,0.9839374809354482,TSPulse_ZS_future,0.695028,0.256729,0.974892,-0.009045480935448214,-0.2889094809354482,0.279864,0.718163
227_MGAB_id_3_Synthetic_tr_25000_1st_44340,Sub-LOF,0.3491658838306035,TSPulse_ZS_time,0.770262,0.29589,0.338888,-0.010277883830603463,0.4210961161693965,-0.431374,0.042998000000000036
144_MSL_id_5_Sensor_tr_1525_1st_4590,KShapeAD,0.9874240306772992,TSPulse_ZS_time,0.995366,0.137999,0.975045,-0.012379030677299174,0.007941969322700748,-0.020320999999999922,0.8370460000000001
009_NAB_id_9_Traffic_tr_500_1st_438,POLY,0.7511137903330025,TSPulse_ZS_time,0.816728,0.77446,0.736929,-0.014184790333002573,0.06561420966699749,-0.07979900000000006,-0.03753100000000009
117_WSD_id_89_WebService_tr_3251_1st_3351,POLY,0.4112856434254001,TSPulse_ZS_future,0.970179,0.256847,0.390449,-0.020836643425400092,0.5588933565745999,-0.5797300000000001,0.133602
834_Exathlon_id_25_Facility_tr_11665_1st_13484,MOMENT (FT),0.9242338139721606,TSPulse_ZS_fft,0.962334,0.040208,0.902699,-0.021534813972160616,0.03810018602783938,-0.059634999999999994,0.862491
