file,Best_Baseline_Algo,Best_Baseline_Score,TSPulse_ZS,Diff_vs_Baseline
701_YAHOO_id_151_Synthetic_tr_500_1st_893.csv,IForest,1.0,1.0,0.0
755_YAHOO_id_205_Synthetic_tr_500_1st_893.csv,LOF,1.0,1.0,0.0
780_YAHOO_id_230_Synthetic_tr_500_1st_893.csv,KShapeAD,1.0,1.0,0.0
549_SMAP_id_19_Sensor_tr_1998_1st_2098.csv,KMeansAD,0.9841511517372684,0.9839204917672244,-0.0002306599700440115
180_SMD_id_3_Facility_tr_5925_1st_17580.csv,MOMENT (ZS),0.9453325072165842,0.944545057083964,-0.000787450132620271
536_SMAP_id_6_Sensor_tr_2160_1st_5600.csv,KShapeAD,0.9991440844772844,0.9972978564808488,-0.0018462279964356343
179_SMD_id_2_Facility_tr_5925_1st_17580.csv,MOMENT (FT),0.9723870246151388,0.9687329681340768,-0.0036540564810619847
349_UCR_id_47_Facility_tr_29954_1st_74900.csv,SR,0.0046028071805951,0.0008172758349572,-0.0037855313456379
355_UCR_id_53_HumanActivity_tr_48750_1st_143411.csv,SR,0.144067657767914,0.1402055985325171,-0.0038620592353968974
214_SMD_id_37_Facility_tr_5925_1st_17580.csv,MOMENT (FT),0.9728920014948976,0.9687329681340768,-0.004159033360820796
212_SMD_id_35_Facility_tr_5925_1st_17580.csv,USAD,0.9333167772710887,0.927576400612888,-0.005740376658200708
341_UCR_id_39_HumanActivity_tr_48812_1st_128430.csv,Sub-MCD,0.0064120691163361,0.0001118873973712,-0.0063001817189649
181_SMD_id_4_Facility_tr_5000_1st_15144.csv,Sub-PCA,0.7669919881745467,0.7600381532741873,-0.00695383490035939
205_SMD_id_28_Facility_tr_5925_1st_17580.csv,MOMENT (FT),0.9774680706869848,0.9697868603676292,-0.007681210319355647
307_UCR_id_5_Facility_tr_29895_1st_39240.csv,SR,0.0088710349314958,0.0010469124232199,-0.0078241225082759
211_SMD_id_34_Facility_tr_5925_1st_17580.csv,POLY,0.8767147365054897,0.8674865967785408,-0.009228139726948914
532_SMAP_id_2_Sensor_tr_2075_1st_5550.csv,POLY,0.6506561590598718,0.6407847353310391,-0.009871423728832762
331_UCR_id_29_Facility_tr_50000_1st_837400.csv,SAND,0.012435734373305,0.0017891188057026,-0.0106466155676024
411_UCR_id_109_Environment_tr_2046_1st_4852.csv,KMeansAD,0.90582447618461,0.8946181353601211,-0.011206340824488903
