file,Dataset,Best_Algo,Best_Score,Oracle,TSPulse2,TSPulse2Triangulation,TSPulse2_llm_selection_ablated_ensemble,TSPulse2_llm_selection_ablated_fft,TSPulse2_llm_selection_ablated_forecast,TSPulse2_llm_selection_ablated_time,TSPulseFT,TSPulseZS
026_MITDB_id_8_Medical_tr_30495_1st_30595,MITDB,TSPulseZS,0.1968188995126605,0.1781340270829382,0.1859428418545554,0.1781340270829382,0.1781340270829382,0.177797065244463,0.0754852550413209,0.167727300436716,0.14,0.1968188995126605
027_MITDB_id_9_Medical_tr_25000_1st_52255,MITDB,TSPulseFT,0.14,0.008416783552809,0.0070424003638772,0.0081965332927632,0.0081965332927632,0.008416783552809,0.0068586637113666,0.0073706631715856,0.14,0.0066685660196297
029_MITDB_id_11_Medical_tr_50000_1st_518037,MITDB,TSPulse2_llm_selection_ablated_fft,0.3137708456058403,0.3137708456058403,0.3028924270031145,0.3028924270031145,0.3028924270031145,0.3137708456058403,0.0536304335419749,0.2843049482123392,0.14,0.1254326020786827
030_MITDB_id_12_Medical_tr_50000_1st_84572,MITDB,TSPulseFT,0.14,0.0613281446660328,0.0575846474942278,0.0576270735784417,0.0576270735784417,0.0575846474942278,0.0613281446660328,0.0593966707654054,0.14,0.0533047116981664
031_MITDB_id_13_Medical_tr_50000_1st_79433,MITDB,TSPulseFT,0.14,0.0251373835240325,0.0249039957901098,0.0251373835240325,0.0251373835240325,0.0251304856974753,0.0234631100675348,0.0238055396704211,0.14,0.0233886201003708
032_GHL_id_1_Sensor_tr_50000_1st_65001,GHL,TSPulse2_llm_selection_ablated_fft,0.018109989630804,0.018109989630804,0.0149579760988021,0.018109989630804,0.0149579760988021,0.018109989630804,0.0098727261706987,0.0150488696746715,0.01,0.0062233396590821
033_GHL_id_2_Sensor_tr_50000_1st_51001,GHL,TSPulse2_llm_selection_ablated_time,0.0132014516147879,0.0132014516147879,0.013138676350518,0.0120277219175498,0.013138676350518,0.0120277219175498,0.0098647557861421,0.0132014516147879,0.01,0.0063457809344548
034_GHL_id_3_Sensor_tr_50000_1st_122001,GHL,TSPulse2_llm_selection_ablated_fft,0.0205692941991979,0.0205692941991979,0.0127757737830755,0.0205692941991979,0.0127285652327701,0.0205692941991979,0.0102334641899457,0.0127757737830755,0.01,0.0064143692808461
035_GHL_id_4_Sensor_tr_50000_1st_90001,GHL,TSPulse2_llm_selection_ablated_fft,0.0206389027767661,0.0206389027767661,0.0161900842544736,0.0206389027767661,0.016122300355776,0.0206389027767661,0.0144916894500959,0.0161900842544736,0.01,0.0088987993488628
036_GHL_id_5_Sensor_tr_50000_1st_67147,GHL,TSPulse2_llm_selection_ablated_fft,0.0234253751713074,0.0234253751713074,0.0222876537048616,0.0234253751713074,0.0222876537048616,0.0234253751713074,0.012233046464239,0.0224417047819519,0.01,0.0075091207244596
