file,Best_Baseline_Algo,Best_Baseline_Score,Best_TSPulse_Algo,Best_TSPulse_Score,TSPulse_ZS_ensemble,Diff_ZS_vs_Baseline
027_MITDB_id_9_Medical_tr_25000_1st_52255,CNN,0.021454439391828,TSPulse_ZS_forecast,0.0081541246536668,0.0076902858547493,-0.0133003147381612
194_Exathlon_id_21_Facility_tr_6985_1st_7085,PCA,0.9928347906841356,TSPulse_ZS_scaled_ensemble,0.9770673785693512,0.9759933709063447,-0.015767412114784385
170_SMAP_id_27_Sensor_tr_2160_1st_4690,KNN,0.0334640503247682,TSPulse_ZS_fft,0.0171923841670391,0.0170740111437087,-0.0162716661577291
052_GHL_id_21_Sensor_tr_50000_1st_98001,CBLOF,0.0226398495825579,TSPulse2_tuning_set_channel_selection,0.0061010328923236,0.0045705947751652,-0.0165388166902343
125_TAO_id_10_Environment_tr_500_1st_9,PCA,0.9999962043132364,TSPulse_ZS_forecast,0.98328746320752,0.9707465745105583,-0.016708741105716407
020_MITDB_id_2_Medical_tr_50000_1st_52315,USAD,0.0221555935612716,TSPulse2_tuning_set_channel_selection,0.0054432261942571,0.0029695473639658,-0.0167123673670145
154_SMAP_id_11_Sensor_tr_2117_1st_4770,AnomalyTransformer,0.0354266869037413,TSPulse_ZS_forecast,0.0155514358889917,0.0111081466152143,-0.0198752510147496
051_GHL_id_20_Sensor_tr_50000_1st_75110,OmniAnomaly,0.0304377276615971,TSPulse2_tuning_set_channel_selection,0.0074172078515967,0.0044772923188641,-0.023020519810000403
187_Exathlon_id_14_Facility_tr_6193_1st_6293,AutoEncoder,0.99519656182468,TSPulse_ZS_scaled_ensemble,0.9719273931082052,0.969260959902432,-0.023269168716474775
139_CATSv2_id_2_Sensor_tr_5592_1st_5692,PCA,0.1201140090705013,TSPulse_ZS_scaled_ensemble,0.0945400752852026,0.0929579241004931,-0.025573933785298708
048_GHL_id_17_Sensor_tr_50000_1st_154001,KMeansAD,0.0479172744363794,TSPulse2_tuning_set_channel_selection,0.0203340340028821,0.0128422280809527,-0.0275832404334973
